sep=;
Año;Mes;Concepto;Pais / PV;Concepto II;Descripción;Moneda;Valor;Index Concepto;Columnas objetivo;Ámbito(s);Scope;Box;Column;Row;Source;Descripción resumen;Amount_text resumen
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv70;tottocowlpv70 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;46;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv37;tottocowlpv37 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;47;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv40;tottocowlpv40 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;48;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv299;tottocowlpv299 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;49;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv298;tottocowlpv298 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;50;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv36;tottocowlpv36 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;51;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv229;tottocowlpv229 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;52;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv174;tottocowlpv174 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;53;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv88;tottocowlpv88 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;54;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv321;tottocowlpv321 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;55;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv260;tottocowlpv260 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;56;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv35;tottocowlpv35 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;57;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv211;tottocowlpv211 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;58;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv116;tottocowlpv116 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;59;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv297;tottocowlpv297 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;60;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv261;tottocowlpv261 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;61;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv233;tottocowlpv233 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;62;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv157;tottocowlpv157 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;63;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv289;tottocowlpv289 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;64;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv317;tottocowlpv317 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;65;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv187;tottocowlpv187 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;66;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv168;tottocowlpv168 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;67;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv238;tottocowlpv238 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;68;column_exact;;
